state,age_group,population
Nordrhein-Westfalen,A05-A14,163281
Rheinland-Pfalz,A05-A14,35971
Saarland,A05-A14,7913
Sachsen,A05-A14,35027
Sachsen-Anhalt,A05-A14,17938
Schleswig-Holstein,A05-A14,26433
Thüringen,A05-A14,17913
Baden-Württemberg,A05-A14,100922
Bayern,A05-A14,113410
Berlin,A05-A14,29865
Brandenburg,A05-A14,21303
Bremen,A05-A14,5896
Hamburg,A05-A14,15617
Hessen,A05-A14,56187
Mecklenburg-Vorpommern,A05-A14,13161
Niedersachsen,A05-A14,72262
Nordrhein-Westfalen,A05-A14,161788
Rheinland-Pfalz,A05-A14,35155
Saarland,A05-A14,7874
Sachsen,A05-A14,33372
Sachsen-Anhalt,A05-A14,17199
Schleswig-Holstein,A05-A14,26025
Thüringen,A05-A14,16887
Baden-Württemberg,A05-A14,102994
Bayern,A05-A14,115364
Berlin,A05-A14,29073
Brandenburg,A05-A14,21014
Bremen,A05-A14,5793
Hamburg,A05-A14,15553
Hessen,A05-A14,57303
Mecklenburg-Vorpommern,A05-A14,12812
Niedersachsen,A05-A14,73784
Nordrhein-Westfalen,A05-A14,164099
Rheinland-Pfalz,A05-A14,35862
Saarland,A05-A14,8128
Sachsen,A05-A14,33380
Sachsen-Anhalt,A05-A14,17366
Schleswig-Holstein,A05-A14,26138
Thüringen,A05-A14,17097
Baden-Württemberg,A05-A14,105044
Bayern,A05-A14,118206
Berlin,A05-A14,29195
Brandenburg,A05-A14,21249
Bremen,A05-A14,5799
Hamburg,A05-A14,15374
Hessen,A05-A14,58117
Mecklenburg-Vorpommern,A05-A14,13347
Niedersachsen,A05-A14,76462
Nordrhein-Westfalen,A05-A14,167908
Rheinland-Pfalz,A05-A14,36710
Saarland,A05-A14,8247
Sachsen,A05-A14,33723
Sachsen-Anhalt,A05-A14,17298
Schleswig-Holstein,A05-A14,27290
Thüringen,A05-A14,17653
Baden-Württemberg,A15-A34,105404
Bayern,A15-A34,119434
Berlin,A15-A34,28031
Brandenburg,A15-A34,21188
Bremen,A15-A34,5869
Hamburg,A15-A34,15158
Hessen,A15-A34,57812
Mecklenburg-Vorpommern,A15-A34,13104
Niedersachsen,A15-A34,76986
Nordrhein-Westfalen,A15-A34,169590
Rheinland-Pfalz,A15-A34,37362
Saarland,A15-A34,8244
Sachsen,A15-A34,32636
Sachsen-Anhalt,A15-A34,16800
Schleswig-Holstein,A15-A34,27533
Thüringen,A15-A34,17200
Baden-Württemberg,A15-A34,107700
Bayern,A15-A34,121664
Berlin,A15-A34,28264
Brandenburg,A15-A34,20917
Bremen,A15-A34,5789
Hamburg,A15-A34,15103
Hessen,A15-A34,58808
Mecklenburg-Vorpommern,A15-A34,12850
Niedersachsen,A15-A34,79761
Nordrhein-Westfalen,A15-A34,173857
Rheinland-Pfalz,A15-A34,38170
Saarland,A15-A34,8573
Sachsen,A15-A34,32185
Sachsen-Anhalt,A15-A34,17386
Schleswig-Holstein,A15-A34,28280
Thüringen,A15-A34,17210
Baden-Württemberg,A15-A34,110373
Bayern,A15-A34,125255
Berlin,A15-A34,28510
Brandenburg,A15-A34,20761
Bremen,A15-A34,6330
Hamburg,A15-A34,15578
Hessen,A15-A34,60397
Mecklenburg-Vorpommern,A15-A34,13184
Niedersachsen,A15-A34,82964
Nordrhein-Westfalen,A15-A34,179092
Rheinland-Pfalz,A15-A34,39566
Saarland,A15-A34,8944
Sachsen,A15-A34,32339
Sachsen-Anhalt,A15-A34,17587
Schleswig-Holstein,A15-A34,29223
Thüringen,A15-A34,17642
Baden-Württemberg,A15-A34,118441
Bayern,A15-A34,132890
Berlin,A15-A34,30466
Brandenburg,A15-A34,21363
Bremen,A15-A34,6886
Hamburg,A15-A34,16784
Hessen,A15-A34,64041
Mecklenburg-Vorpommern,A15-A34,13721
Niedersachsen,A15-A34,87772
Nordrhein-Westfalen,A15-A34,189556
Rheinland-Pfalz,A15-A34,42558
Saarland,A15-A34,9476
Sachsen,A15-A34,34491
Sachsen-Anhalt,A15-A34,18286
Schleswig-Holstein,A15-A34,31304
Thüringen,A15-A34,17727
Baden-Württemberg,A15-A34,124459
Bayern,A15-A34,140087
Berlin,A15-A34,32155
Brandenburg,A15-A34,20182
Bremen,A15-A34,7832
Hamburg,A15-A34,17750
Hessen,A15-A34,66262
Mecklenburg-Vorpommern,A15-A34,13171
Niedersachsen,A15-A34,89138
Nordrhein-Westfalen,A15-A34,194394
Rheinland-Pfalz,A15-A34,43694
Saarland,A15-A34,9828
Sachsen,A15-A34,34484
Sachsen-Anhalt,A15-A34,18091
Schleswig-Holstein,A15-A34,32115
Thüringen,A15-A34,17460
Baden-Württemberg,A15-A34,130032
Bayern,A15-A34,148298
Berlin,A15-A34,34738
Brandenburg,A15-A34,19184
Bremen,A15-A34,8621
Hamburg,A15-A34,19462
Hessen,A15-A34,69883
Mecklenburg-Vorpommern,A15-A34,12893
Niedersachsen,A15-A34,91220
Nordrhein-Westfalen,A15-A34,201907
Rheinland-Pfalz,A15-A34,44901
Saarland,A15-A34,9981
Sachsen,A15-A34,33841
Sachsen-Anhalt,A15-A34,17730
Schleswig-Holstein,A15-A34,31512
Thüringen,A15-A34,17456
Baden-Württemberg,A15-A34,136509
Bayern,A15-A34,155092
Berlin,A15-A34,38011
Brandenburg,A15-A34,18345
Bremen,A15-A34,8930
Hamburg,A15-A34,21876
Hessen,A15-A34,74857
Mecklenburg-Vorpommern,A15-A34,13068
Niedersachsen,A15-A34,94628
Nordrhein-Westfalen,A15-A34,212974
Rheinland-Pfalz,A15-A34,47332
Saarland,A15-A34,10617
Sachsen,A15-A34,34098
Sachsen-Anhalt,A15-A34,18030
Schleswig-Holstein,A15-A34,32391
Thüringen,A15-A34,17760
Baden-Württemberg,A15-A34,136382
Bayern,A15-A34,154949
Berlin,A15-A34,40163
Brandenburg,A15-A34,17342
Bremen,A15-A34,9034
Hamburg,A15-A34,22706
Hessen,A15-A34,74012
Mecklenburg-Vorpommern,A15-A34,12426
Niedersachsen,A15-A34,93141
Nordrhein-Westfalen,A15-A34,212930
Rheinland-Pfalz,A15-A34,46670
Saarland,A15-A34,10704
Sachsen,A15-A34,33218
Sachsen-Anhalt,A15-A34,17229
Schleswig-Holstein,A15-A34,31838
Thüringen,A15-A34,16779
Baden-Württemberg,A15-A34,135824
Bayern,A15-A34,154642
Berlin,A15-A34,42031
Brandenburg,A15-A34,15684
Bremen,A15-A34,9073
Hamburg,A15-A34,23395
Hessen,A15-A34,73250
Mecklenburg-Vorpommern,A15-A34,11258
Niedersachsen,A15-A34,91200
Nordrhein-Westfalen,A15-A34,210221
Rheinland-Pfalz,A15-A34,45609
Saarland,A15-A34,10568
Sachsen,A15-A34,31508
Sachsen-Anhalt,A15-A34,16172
Schleswig-Holstein,A15-A34,30618
Thüringen,A15-A34,15871
Baden-Württemberg,A15-A34,138191
Bayern,A15-A34,157936
Berlin,A15-A34,45109
Brandenburg,A15-A34,15026
Bremen,A15-A34,9224
Hamburg,A15-A34,25047
Hessen,A15-A34,74846
Mecklenburg-Vorpommern,A15-A34,10702
Niedersachsen,A15-A34,92039
Nordrhein-Westfalen,A15-A34,215656
Rheinland-Pfalz,A15-A34,47039
Saarland,A15-A34,10989
Sachsen,A15-A34,30988
Sachsen-Anhalt,A15-A34,15643
Schleswig-Holstein,A15-A34,31284
Thüringen,A15-A34,14929
Baden-Württemberg,A15-A34,142652
Bayern,A15-A34,165832
Berlin,A15-A34,48371
Brandenburg,A15-A34,14818
Bremen,A15-A34,9669
Hamburg,A15-A34,26508
Hessen,A15-A34,76878
Mecklenburg-Vorpommern,A15-A34,10920
Niedersachsen,A15-A34,94218
Nordrhein-Westfalen,A15-A34,222900
Rheinland-Pfalz,A15-A34,48660
Saarland,A15-A34,11366
Sachsen,A15-A34,31649
Sachsen-Anhalt,A15-A34,15683
Schleswig-Holstein,A15-A34,31601
Thüringen,A15-A34,15367
Baden-Württemberg,A15-A34,143919
