;;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre
;;unter 1 Jahr;1-Jährige;2-Jährige;3-Jährige;4-Jährige;5-Jährige;6-Jährige;7-Jährige;8-Jährige;9-Jährige;10-Jährige;11-Jährige;12-Jährige;13-Jährige;14-Jährige;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25-Jährige;26-Jährige;27-Jährige;28-Jährige;29-Jährige;30-Jährige;31-Jährige;32-Jährige;33-Jährige;34-Jährige;35-Jährige;36-Jährige;37-Jährige;38-Jährige;39-Jährige;40-Jährige;41-Jährige;42-Jährige;43-Jährige;44-Jährige;45-Jährige;46-Jährige;47-Jährige;48-Jährige;49-Jährige;50-Jährige;51-Jährige;52-Jährige;53-Jährige;54-Jährige;55-Jährige;56-Jährige;57-Jährige;58-Jährige;59-Jährige;60-Jährige;61-Jährige;62-Jährige;63-Jährige;64-Jährige;65-Jährige;66-Jährige;67-Jährige;68-Jährige;69-Jährige;70-Jährige;71-Jährige;72-Jährige;73-Jährige;74-Jährige;75-Jährige;76-Jährige;77-Jährige;78-Jährige;79-Jährige;80-Jährige;81-Jährige;82-Jährige;83-Jährige;84-Jährige;85-Jährige;86-Jährige;87-Jährige;88-Jährige;89-Jährige;90 Jahre und mehr;Insgesamt
31.12.2018;Nordrhein-Westfalen;172060;173986;175494;169193;166559;159524;159783;156118;160537;158434;163993;163281;161788;164099;167908;169590;173857;179092;189556;194394;201907;212974;212930;210221;215656;222900;225588;230244;238914;231813;235830;230150;226067;217559;216359;217012;221888;219990;220983;209483;207061;207496;208128;203219;205938;208534;225183;246204;256970;281148;293980;300642;307294;305331;308851;302487;289619;283333;276372;268403;253777;246986;237176;226662;220826;208829;205369;197339;196010;194355;176215;161089;146064;121914;156292;154782;148316;174003;183295;175952;160851;145406;133231;121429;106302;77231;70442;64355;60855;50920;172471;17932651
31.12.2018;Rheinland-Pfalz;37522;38571;38779;37502;36961;35581;35103;34912;35515;34776;36148;35971;35155;35862;36710;37362;38170;39566;42558;43694;44901;47332;46670;45609;47039;48660;49368;50297;52011;50854;52017;50544;49849;47916;47945;48156;49580;49684;48830;47003;46355;46006;45473;44802;45262;46249;50327;55034;57628;62433;66126;67787;70445;70388;71911;71727;69857;69344;66917;64496;60996;60076;57563;55367;54080;52397;51758;50438;50687;48615;41549;36558;32391;26849;34877;34414;33090;40481;42855;41074;37004;33356;30960;27827;23985;17973;16157;14953;13999;11821;41444;4084844
31.12.2018;Saarland;8133;8324;8343;8016;8049;7544;7719;7865;7871;7776;8073;7913;7874;8128;8247;8244;8573;8944;9476;9828;9981;10617;10704;10568;10989;11366;11694;11939;12342;12016;12275;12143;11981;11345;11269;11398;11624;11554;11564;10988;10608;10774;10322;10096;10321;10361;11449;12688;13081;14628;15680;16222;16887;17195;17703;17725;17590;17751;17087;17258;16551;15900;15186;14396;14519;14123;13762;13222;13314;13582;11510;9351;7484;6847;9179;8803;8561;10801;10981;11018;9728;9503;8922;7621;6146;4957;4584;4184;3609;3105;10337;990509
31.12.2018;Sachsen;35751;37307;38268;37905;37818;36810;36994;36303;36750;35709;36046;35027;33372;33380;33723;32636;32185;32339;34491;34484;33841;34098;33218;31508;30988;31649;32841;37477;52644;54219;55620;56467;54002;54274;53084;53396;53834;52217;53441;51217;51254;50036;44631;42544;42035;42473;46459;54176;54123;54532;55481;57302;60669;63061;65588;66372;65244;65098;62401;61812;57004;56671;57410;59268;58648;58767;59553;60480;57763;50279;40096;39807;29615;34668;49972;48888;44723;54535;54845;52128;45782;40197;37631;35153;30310;21959;19332;18223;17455;14915;49236;4077937
31.12.2018;Sachsen-Anhalt;17259;18269;18597;18423;18598;18180;18280;17940;18334;18016;18582;17938;17199;17366;17298;16800;17386;17587;18286;18091;17730;18030;17229;16172;15643;15683;16594;18262;25961;26710;27827;27681;26857;26653;26717;26908;26580;26348;26924;25757;25633;24642;22045;21096;21672;22556;25957;30730;31044;32070;32912;34391;35795;37448;39032;40327;39846;39726;38531;37633;35217;34685;35039;35819;34862;34940;34413;32768;32034;28272;23677;23031;18366;18531;25631;26138;25537;30440;30478;28643;24819;22179;20293;18556;15964;11627;10404;9452;8639;7164;22922;2208321
31.12.2018;Schleswig-Holstein;25260;25807;26219;25546;25522;24845;25287;24628;25784;25362;26181;26433;26025;26138;27290;27533;28280;29223;31304;32115;31512;32391;31838;30618;31284;31601;31834;32408;34173;33227;34201;33536;32667;31826;31788;32436;33553;33635;34503;32785;33015;32806;33060;32419;32497;33609;36492;40969;42764;47414;50451;52203;52492;51553;52016;50428;47964;46717;44438;43046;40379;39255;36916;35895;35628;33990;33733;33705;33826;33428;32532;29875;27822;22709;29706;30429;28809;34235;33757;32541;29504;25986;23398;20860;17564;12077;10540;9892;8948;7648;28174;2896712
31.12.2018;Thüringen;17410;18276;18789;18797;18995;18694;18594;18268;18692;17856;18334;17913;16887;17097;17653;17200;17210;17642;17727;17460;17456;17760;16779;15871;14929;15367;16130;17977;25232;25786;27575;27765;26935;26729;26735;26974;27543;26761;27443;26228;25391;24984;22432;21531;22237;23058;25955;29167;29751;30035;30555;31648;33901;34990;36866;37720;37313;38367;36505;36449;33812;33618;34216;34275;33610;33391;32974;32626;30796;27167;23342;22091;17965;16832;24196;24026;22170;27856;29259;27721;23229;20288;18768;16938;14640;10509;9631;8491;8049;6674;21661;2143145
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 09:04:46
